date,activity_id,type,route_name,distance,duration,average_pace,average_speed,calories_burned,climb,average_hr,friends_tagged,notes,gpx_file,date2
1/2/2020 10:29,0dfc452e-f7b6-4f04-b665-effd942215da,Running,,2.07,19:05,9:14,6.49,208,229,153,,,2020-01-02-102922.gpx,1/2/2020
1/5/2020 7:29,5cc11fc0-14ee-46fb-8e83-3a547467a2b2,Running,,2.17,20:52,9:36,6.25,200,118,138,,,2020-01-05-072949.gpx,1/5/2020
1/7/2020 5:47,38944f8d-8c4e-480a-bb4a-4b4cb9d94b91,Running,,5.01,48:13:00,9:38,6.23,453,341,141,,,2020-01-07-054746.gpx,1/7/2020
1/10/2020 9:12,de264372-1079-44c9-a457-c1e61648b700,Running,,3.04,26:43:00,8:47,6.83,304,22,158,,,2020-01-10-091224.gpx,1/10/2020
1/13/2020 9:08,7e124b07-3d70-4411-9a90-93e12d5b8cae,Running,,3.01,25:02:00,8:18,7.22,263,19,147,,,2020-01-13-090843.gpx,1/13/2020
1/14/2020 9:14,9f39bb98-efc7-4208-957a-90d38bea272f,Running,,3.02,26:10:00,8:40,6.92,260,36,144,,,2020-01-14-091419.gpx,1/14/2020
1/15/2020 9:12,528839c5-07b9-4100-966e-ea453d78b5cf,Running,,3.62,30:59:00,8:34,7,327,68,149,,,2020-01-15-091216.gpx,1/15/2020
1/16/2020 9:13,50f09183-0559-4866-a263-df7b606308c7,Running,,4.21,34:39:00,8:14,7.29,356,85,147,,,2020-01-16-091313.gpx,1/16/2020
1/20/2020 8:41,babd16a8-5928-487d-8bed-15d1eacaf955,Running,,3.04,26:42:00,8:48,6.82,263,9,141,,,2020-01-20-084123.gpx,1/20/2020
1/21/2020 9:16,15f0f600-7a3c-4c6f-be85-1c42849352be,Running,,3.03,26:18:00,8:41,6.91,262,26,142,,,2020-01-21-091609.gpx,1/21/2020
1/22/2020 8:44,06a3141e-f519-4e37-844f-e274c709e14f,Running,,3.41,30:15:00,8:52,6.76,304,62,141,,,2020-01-22-084453.gpx,1/22/2020
