date,distance
1/3/2015,2.63
1/7/2015,2.63
1/17/2015,1.53
1/25/2015,3.03
2/1/2015,1.5
2/8/2015,3.13
2/17/2015,2.03
2/22/2015,2.02
3/3/2015,2.1
3/4/2015,2.06
3/5/2015,2.06
3/7/2015,2.1
3/14/2015,2
3/16/2015,2.11
3/17/2015,2.01
3/18/2015,2.1
3/29/2015,3.08
3/31/2015,2.05
4/1/2015,2.02
4/2/2015,2.19
4/7/2015,2.05
4/8/2015,2.03
4/11/2015,10.15
4/14/2015,2.13
4/15/2015,2.06
4/16/2015,2.76
4/21/2015,2.02
4/22/2015,2.62
4/27/2015,1.8
4/29/2015,2.06
4/30/2015,2.16
5/4/2015,2.12
5/5/2015,2.08
5/6/2015,2.03
5/7/2015,2.07
5/11/2015,2.05
5/12/2015,2.09
5/13/2015,2.04
5/14/2015,2.29
5/18/2015,2.02
5/19/2015,2.02
5/20/2015,2.35
5/26/2015,3.05
5/27/2015,2.02
5/28/2015,2.04
5/30/2015,5.46
6/1/2015,2.04
6/2/2015,2.04
6/3/2015,2.04
6/7/2015,4.02
6/16/2015,2.09
6/17/2015,2.1
6/18/2015,2.01
6/22/2015,2.01
6/23/2015,2.02
6/24/2015,2.04
6/29/2015,2.02
6/30/2015,2.04
7/1/2015,2.04
7/4/2015,4.09
7/6/2015,2.04
7/7/2015,3.08
7/8/2015,2.03
7/11/2015,4.01
7/13/2015,2.01
7/14/2015,2.01
7/15/2015,2.04
7/20/2015,2.05
7/21/2015,2.01
7/22/2015,2.04
7/25/2015,3.02
8/4/2015,2.02
8/6/2015,2.03
8/8/2015,3
8/11/2015,2.04
8/12/2015,6.1
8/17/2015,2.03
8/18/2015,2.07
8/20/2015,2.03
8/22/2015,4.65
8/24/2015,2.03
8/25/2015,2.05
8/28/2015,4.02
9/1/2015,2.02
9/2/2015,2.06
9/3/2015,2.02
9/5/2015,4.01
9/8/2015,2.03
9/9/2015,2.11
9/10/2015,2.02
9/12/2015,4.01
9/14/2015,2.02
9/16/2015,2.01
9/17/2015,2.51
9/21/2015,2.07
9/23/2015,3.02
9/24/2015,2.07
9/26/2015,4.57
9/29/2015,2.04
9/30/2015,2.05
10/6/2015,2.04
10/7/2015,2.08
10/8/2015,2.02
10/12/2015,2.39
10/14/2015,2.04
10/17/2015,7.02
10/20/2015,2.21
10/21/2015,2.96
10/22/2015,2.51
10/26/2015,2.09
10/27/2015,2.03
10/29/2015,2.81
11/2/2015,2.37
11/3/2015,2.14
11/6/2015,2.83
11/9/2015,2.02
11/10/2015,3.49
11/20/2015,2.04
11/23/2015,2.08
11/25/2015,2.79
11/26/2015,3.04
11/30/2015,2.04
12/2/2015,2.06
12/3/2015,2.57
12/8/2015,2.11
12/10/2015,2.1
12/12/2015,3.27
12/14/2015,2.05
12/15/2015,2.73
12/19/2015,4.01
12/30/2015,2.08
1/2/2016,4.02
1/4/2016,2.07
1/5/2016,3.02
1/7/2016,2.06
1/11/2016,2.04
1/12/2016,2.14
1/14/2016,2.06
1/18/2016,3.1
1/19/2016,2.08
1/26/2016,2.07
1/28/2016,2.05
2/1/2016,2.07
2/2/2016,2.08
2/4/2016,2.06
2/8/2016,2.07
2/9/2016,2.11
2/11/2016,2.05
2/15/2016,3.12
2/16/2016,2.08
2/18/2016,2.05
2/20/2016,6.27
2/22/2016,2.06
2/23/2016,2.05
2/25/2016,2.04
3/1/2016,2.07
3/3/2016,1.41
3/10/2016,6.02
3/22/2016,2.07
3/23/2016,2.01
3/26/2016,4.01
3/29/2016,2.07
3/30/2016,2.13
4/2/2016,3.23
4/5/2016,2.03
4/7/2016,2.02
4/9/2016,3.01
4/12/2016,2.03
4/14/2016,2.04
4/16/2016,4.03
5/21/2016,2.04
5/24/2016,2.07
5/31/2016,1.78
6/2/2016,1.58
6/4/2016,1.41
6/7/2016,1.62
6/9/2016,1.7
6/11/2016,1.57
6/13/2016,2.06
6/15/2016,2.01
6/18/2016,2.02
6/20/2016,2.08
6/22/2016,2.01
6/25/2016,2.5
6/27/2016,2.1
6/29/2016,2.05
7/2/2016,3.02
7/4/2016,2.08
7/6/2016,2.05
7/7/2016,2.67
7/10/2016,3.51
7/11/2016,2.1
7/13/2016,2.18
7/14/2016,2.91
7/16/2016,3.22
7/18/2016,2.09
7/20/2016,2.68
7/21/2016,2.76
7/23/2016,4.01
7/25/2016,2.01
7/26/2016,2.66
7/27/2016,2.09
7/30/2016,4.01
8/1/2016,2.05
8/2/2016,2.01
8/3/2016,3.03
8/9/2016,2.25
8/12/2016,3.18
8/15/2016,2.05
8/16/2016,2.06
8/17/2016,2.01
8/20/2016,4.28
8/22/2016,2.3
8/24/2016,2.02
8/27/2016,4.02
8/30/2016,2.51
9/1/2016,2.05
9/4/2016,7.41
9/6/2016,2.16
9/8/2016,2.07
9/10/2016,4.06
9/12/2016,2.01
9/14/2016,2.03
9/17/2016,4.02
9/19/2016,2.77
9/21/2016,2.02
9/24/2016,4.01
9/26/2016,2.03
9/28/2016,2.09
9/30/2016,4.07
10/3/2016,2.01
10/5/2016,2.75
10/8/2016,4.01
10/10/2016,2.07
10/12/2016,2.08
10/15/2016,3.18
10/18/2016,2.05
10/19/2016,2.01
10/22/2016,3.64
10/24/2016,2.01
10/26/2016,2.19
10/30/2016,4.01
10/31/2016,2.12
11/3/2016,2.01
11/5/2016,4.01
11/7/2016,2.01
11/9/2016,2.08
11/11/2016,2.82
11/14/2016,2.07
11/16/2016,2.26
11/19/2016,5.55
11/21/2016,2.09
11/23/2016,2.37
11/25/2016,4.01
11/28/2016,2.01
11/30/2016,2.3
12/4/2016,4.01
12/12/2016,2.35
12/14/2016,2.01
12/17/2016,4.11
12/20/2016,2.04
12/22/2016,2.02
12/25/2016,4.26
12/27/2016,2.06
12/29/2016,2.04
12/31/2016,4.01
1/2/2017,2.01
1/4/2017,2.02
1/7/2017,4.02
1/10/2017,2.02
1/12/2017,2.01
1/14/2017,4.03
1/17/2017,2.01
1/18/2017,2.01
1/22/2017,5.01
1/24/2017,2.02
1/26/2017,3.01
1/29/2017,4.02
1/31/2017,2.02
2/2/2017,2.15
2/5/2017,4.33
2/11/2017,4.02
2/17/2017,3.23
2/20/2017,2.01
2/23/2017,2.02
2/25/2017,1.81
2/27/2017,2.02
3/1/2017,2.02
3/6/2017,2.01
3/8/2017,2.01
3/13/2017,1.96
3/14/2017,2.07
3/16/2017,2.05
3/20/2017,2.02
3/22/2017,3.63
3/25/2017,3.16
3/27/2017,3.41
3/29/2017,2.01
4/1/2017,2.11
4/3/2017,2.02
4/4/2017,3.41
4/9/2017,3.01
4/10/2017,3.04
4/12/2017,2.13
4/13/2017,3.28
4/17/2017,3.02
4/18/2017,4.39
4/20/2017,3.8
4/24/2017,4.45
