date,distance
1/2/2020,2.07
1/5/2020,2.17
1/7/2020,5.01
1/10/2020,3.04
1/13/2020,3.01
1/14/2020,3.02
1/15/2020,3.62
1/16/2020,4.21
1/20/2020,3.04
1/21/2020,3.03
1/22/2020,3.41
1/23/2020,4.01
2/3/2020,3
2/4/2020,2.02
2/5/2020,3.95
2/6/2020,3.42
2/10/2020,3
2/11/2020,4.01
2/12/2020,3.21
2/13/2020,3.25
2/17/2020,3.2
2/18/2020,3.48
2/19/2020,3.06
2/20/2020,4.45
2/24/2020,4.18
2/25/2020,2.03
2/26/2020,3.25
3/2/2020,3.16
3/3/2020,4.16
3/4/2020,4.09
3/5/2020,4.36
3/9/2020,6.13
3/10/2020,3.01
3/12/2020,4.07
3/16/2020,3.07
3/17/2020,3.14
3/18/2020,3.5
3/19/2020,3.07
3/23/2020,3.01
3/24/2020,3.57
3/25/2020,2.83
3/26/2020,3.13
3/30/2020,3.05
3/31/2020,3.05
4/1/2020,3.09
4/2/2020,3.18
4/6/2020,3.09
4/7/2020,3.1
4/8/2020,3.16
4/9/2020,3.08
4/13/2020,3.07
4/14/2020,2.99
4/15/2020,3.19
4/16/2020,3.17
4/20/2020,3.51
4/21/2020,3.1
4/22/2020,3.04
4/23/2020,3.12
4/27/2020,3.08
4/28/2020,3.1
4/29/2020,3.32
4/30/2020,3.09
5/4/2020,3.12
5/5/2020,3.12
5/6/2020,3.09
5/7/2020,3.13
5/11/2020,3.09
5/12/2020,3.12
5/13/2020,3.07
5/14/2020,3.1
5/18/2020,3.08
5/19/2020,3.22
5/20/2020,3.24
5/21/2020,3.1
5/25/2020,3.03
5/26/2020,3.17
5/27/2020,3.06
5/28/2020,3.25
6/1/2020,3.4
6/2/2020,3.1
6/3/2020,3.13
6/4/2020,3.02
6/8/2020,3.12
6/9/2020,3.73
6/10/2020,3.82
6/11/2020,3.07
6/22/2020,3.07
6/23/2020,3.15
6/24/2020,3.03
6/25/2020,3.18
6/29/2020,3.06
6/30/2020,3
7/1/2020,2.93
7/2/2020,3.52
7/6/2020,3.15
7/7/2020,3.31
7/8/2020,3.32
7/9/2020,3.5
7/13/2020,3.15
7/14/2020,3.09
7/15/2020,3.16
7/16/2020,3.59
7/20/2020,3.16
7/21/2020,3.16
7/22/2020,3.09
7/23/2020,3.45
8/3/2020,3.4
8/5/2020,3.24
8/6/2020,3.05
8/10/2020,3.26
8/11/2020,3.04
8/12/2020,3.07
8/13/2020,3.27
8/17/2020,3.5
8/18/2020,3.1
8/19/2020,3.17
8/20/2020,3.59
8/24/2020,3.2
8/25/2020,3.27
8/26/2020,3.04
8/27/2020,3.57
8/31/2020,3.16
9/1/2020,3.21
9/2/2020,3.03
9/3/2020,3.54
9/7/2020,3.17
9/8/2020,3.57
9/9/2020,3.01
9/10/2020,3.51
9/14/2020,3.16
9/15/2020,3
9/16/2020,3.62
9/17/2020,4.21
9/21/2020,3.51
9/22/2020,4.9
9/23/2020,3.01
9/24/2020,3.25
9/28/2020,3.66
9/29/2020,3.81
9/30/2020,5.01
10/1/2020,3.21
10/5/2020,3.43
10/6/2020,3.16
10/7/2020,2.74
10/12/2020,3.04
10/13/2020,3.65
10/14/2020,3.5
10/15/2020,4.65
10/19/2020,3.13
10/20/2020,3.01
10/21/2020,3.04
10/22/2020,3.43
10/26/2020,3.06
10/27/2020,3.02
10/28/2020,3.18
10/29/2020,4.01
11/2/2020,3.03
11/3/2020,3.54
11/4/2020,3.01
11/5/2020,3.15
11/9/2020,3.03
11/10/2020,3.01
11/11/2020,4.01
11/12/2020,3.74
11/16/2020,3.15
11/17/2020,3.02
11/18/2020,3.38
11/19/2020,3.71
11/23/2020,3.03
11/24/2020,3.13
11/25/2020,3.33
11/26/2020,3.65
11/30/2020,3.01
12/1/2020,3.01
12/2/2020,3.1
12/3/2020,3.77
12/7/2020,3.03
12/8/2020,3.39
12/9/2020,3.02
12/10/2020,4.2
12/14/2020,3.03
12/15/2020,3.32
12/16/2020,3.04
12/17/2020,4.2
12/21/2020,3.01
12/22/2020,3
12/23/2020,3.58
12/24/2020,3.01
12/28/2020,3.01
12/29/2020,3.08
12/30/2020,3.28
12/31/2020,4.41
